,Rank,Year,MVP,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,FT%,WS,WS/48,Rk,Pos,GS,FG,FGA,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TOV,PF
0,1,1985,1,Larry Bird,28.0,BOS,73.0,763.0,780,0.978,80.0,39.5,28.7,10.5,6.6,1.6,1.2,0.522,0.882,15.7,0.238,16,SF,77,11.5,22.0,0.7,1.6,.427,10.8,20.4,.529,.538,5.0,5.7,2.1,8.5,3.1,2.6
1,2,1985,0,Magic Johnson,25.0,LAL,1.0,264.0,780,0.338,77.0,36.1,18.3,6.2,12.6,1.5,0.3,0.561,0.843,12.7,0.22,130,PG,77,6.5,11.7,0.1,0.5,.189,6.5,11.2,.577,.565,5.1,6.0,1.2,5.0,4.0,2.0
2,3,1985,0,Moses Malone,29.0,PHI,0.0,218.0,780,0.279,79.0,37.4,24.6,13.1,1.6,0.8,1.6,0.469,0.815,11.9,0.193,170,C,79,7.6,16.3,0.0,0.0,.000,7.6,16.2,.470,.469,9.3,11.4,4.9,8.2,3.6,2.7
3,4,1985,0,Kareem Abdul-Jabbar,37.0,LAL,0.0,206.0,780,0.264,79.0,33.3,22.0,7.9,3.2,0.8,2.1,0.599,0.732,11.2,0.204,1,C,79,9.2,15.3,0.0,0.0,.000,9.2,15.3,.600,.599,3.7,5.0,2.1,5.8,2.5,3.0
4,5,1985,0,Terry Cummings,23.0,MIL,2.0,138.0,780,0.177,79.0,34.5,23.6,9.1,2.9,1.5,0.8,0.495,0.741,10.7,0.189,57,PF,78,9.6,19.4,0.0,0.0,.000,9.6,19.4,.496,.495,4.3,5.9,3.1,6.0,2.4,3.3
5,6,1985,0,Michael Jordan,21.0,CHI,2.0,134.0,780,0.172,82.0,38.3,28.2,6.5,5.9,2.4,0.8,0.515,0.845,14.0,0.213,143,SG,82,10.2,19.8,0.1,0.6,.173,10.1,19.2,.526,.518,7.7,9.1,2.0,4.5,3.5,3.5
6,7,1985,0,Bernard King,28.0,NYK,0.0,70.0,780,0.09,55.0,37.5,32.9,5.8,3.7,1.3,0.3,0.53,0.772,7.1,0.166,149,SF,55,12.6,23.7,0.0,0.2,.100,12.5,23.5,.534,.531,7.7,10.0,2.1,3.7,3.7,3.5
7,8,1985,0,Sidney Moncrief,27.0,MIL,0.0,65.0,780,0.083,73.0,37.5,21.7,5.4,5.2,1.6,0.5,0.483,0.828,11.2,0.197,188,PG,72,7.7,15.9,0.1,0.5,.273,7.6,15.5,.489,.487,6.2,7.5,2.0,3.3,2.5,2.7
8,9,1985,0,Isiah Thomas,23.0,DET,0.0,63.0,780,0.081,81.0,38.1,21.2,4.5,13.9,2.3,0.3,0.458,0.809,11.2,0.173,265,PG,81,8.0,17.4,0.4,1.4,.257,7.6,16.0,.476,.468,4.9,6.1,1.4,3.0,3.7,3.6
9,10,1985,0,Ralph Sampson,24.0,HOU,0.0,26.0,780,0.033,82.0,37.6,22.1,10.4,2.7,1.0,2.0,0.502,0.676,6.2,0.096,234,PF,82,9.2,18.3,0.0,0.1,.000,9.2,18.2,.504,.502,3.7,5.5,2.8,7.6,4.0,3.7
