,Player,Year,MVP,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
0,Larry Bird,1985,1,28,BOS,73.0,763.0,780,0.978,80,39.5,28.7,10.5,6.6,1.6,1.2,0.522,0.42700000000000005,0.882,15.7,0.23800000000000002
1,Magic Johnson,1985,0,25,LAL,1.0,264.0,780,0.33799999999999997,77,36.1,18.3,6.2,12.6,1.5,0.3,0.561,0.18899999999999997,0.843,12.7,0.22
2,Moses Malone,1985,0,29,PHI,0.0,218.0,780,0.27899999999999997,79,37.4,24.6,13.1,1.6,0.8,1.6,0.469,0.0,0.815,11.9,0.193
3,Kareem Abdul-Jabbar,1985,0,37,LAL,0.0,206.0,780,0.264,79,33.3,22.0,7.9,3.2,0.8,2.1,0.599,0.0,0.732,11.2,0.204
4,Terry Cummings,1985,0,23,MIL,2.0,138.0,780,0.177,79,34.5,23.6,9.1,2.9,1.5,0.8,0.495,0.0,0.741,10.7,0.18899999999999997
5,Michael Jordan,1985,0,21,CHI,2.0,134.0,780,0.172,82,38.3,28.2,6.5,5.9,2.4,0.8,0.515,0.17300000000000001,0.845,14.0,0.213
6,Bernard King,1985,0,28,NYK,0.0,70.0,780,0.09,55,37.5,32.9,5.8,3.7,1.3,0.3,0.53,0.1,0.772,7.1,0.166
7,Sidney Moncrief,1985,0,27,MIL,0.0,65.0,780,0.083,73,37.5,21.7,5.4,5.2,1.6,0.5,0.483,0.273,0.828,11.2,0.19699999999999998
8,Isiah Thomas,1985,0,23,DET,0.0,63.0,780,0.081,81,38.1,21.2,4.5,13.9,2.3,0.3,0.45799999999999996,0.257,0.809,11.2,0.17300000000000001
9,Ralph Sampson,1985,0,24,HOU,0.0,26.0,780,0.033,82,37.6,22.1,10.4,2.7,1.0,2.0,0.502,0.0,0.6759999999999999,6.2,0.096
0,Larry Bird,1986,1,29,BOS,73.0,765.0,780,0.981,82,38.0,25.8,9.8,6.8,2.0,0.6,0.496,0.423,0.8959999999999999,15.8,0.244
1,Dominique Wilkins,1986,0,26,ATL,5.0,407.0,780,0.522,78,39.1,30.3,7.9,2.6,1.8,0.6,0.46799999999999997,0.18600000000000003,0.818,10.8,0.17
2,Magic Johnson,1986,0,26,LAL,0.0,205.0,780,0.263,72,35.8,18.8,5.9,12.6,1.6,0.2,0.526,0.233,0.871,12.1,0.226
3,Hakeem Olajuwon,1986,0,23,HOU,0.0,193.0,780,0.247,68,36.3,23.5,11.5,2.0,2.0,3.4,0.526,,0.645,9.5,0.18600000000000003
4,Kareem Abdul-Jabbar,1986,0,38,LAL,0.0,135.0,780,0.17300000000000001,79,33.3,23.4,6.1,3.5,0.8,1.6,0.564,0.0,0.765,10.8,0.19699999999999998
5,Charles Barkley,1986,0,22,PHI,0.0,133.0,780,0.171,80,36.9,20.0,12.8,3.9,2.2,1.6,0.5720000000000001,0.22699999999999998,0.685,10.8,0.17600000000000002
6,Sidney Moncrief,1986,0,28,MIL,0.0,56.0,780,0.07200000000000001,73,35.2,20.2,4.6,4.9,1.4,0.2,0.489,0.32,0.8590000000000001,11.7,0.21899999999999997
7,Alex English,1986,0,32,DEN,0.0,55.0,780,0.071,81,37.3,29.8,5.0,4.0,0.9,0.4,0.504,0.2,0.862,9.8,0.156
8,Isiah Thomas,1986,0,24,DET,0.0,28.0,780,0.036000000000000004,77,36.2,20.9,3.6,10.8,2.2,0.3,0.488,0.31,0.79,8.8,0.151
